Unfollow_084_1|laura's predicament sounded uncannily like my father's and i was surprised by how many similarities there were between the doctrines of westboro and the witnesses but right then staring out the window at the sixty foot high carvings of george washington and company what held my attention were the differences between the two groups|laura's predicament sounded uncannily like my father's and i was surprised by how many similarities there were between the doctrines of westboro and the witnesses but right then staring out the window at the sixty foot high carvings of george washington and company what held my attention were the differences between the two groups
Unfollow_084_2|in contrast to westboro's version of hell eternal torment an idea that had become detestable to me witnesses believe that hell is simply death|in contrast to westboro's version of hell eternal torment an idea that had become detestable to me witnesses believe that hell is simply death
Unfollow_084_3|when i quoted bible verses that seemed to contradict this dustin and laura brought forth other verses to support their position|when i quoted bible verses that seemed to contradict this dustin and laura brought forth other verses to support their position
Unfollow_084_4|for the living know that they will die but the dead know nothing at all there is no work nor planning nor knowledge nor wisdom in the grave where you are going|for the living know that they will die but the dead know nothing at all there is no work nor planning nor knowledge nor wisdom in the grave where you are going
Unfollow_084_5|their understanding of the verses i presented was fundamentally different from the one i had been raised with and i was slack jawed to realize that there was more than one way to read the text that from one passage multiple meanings could be deduced without contradicting the language in the original|their understanding of the verses i presented was fundamentally different from the one i had been raised with and i was slack jawed to realize that there was more than one way to read the text that from one passage multiple meanings could be deduced without contradicting the language in the original
Unfollow_084_6|that interpretation was a phenomenon with real implications for believers|that interpretation was a phenomenon with real implications for believers
Unfollow_084_7|at westboro we had denied that interpretation allowed for any disagreements on doctrines|at westboro we had denied that interpretation allowed for any disagreements on doctrines
Unfollow_084_8|knowing this first that no prophecy of the scripture is of any private interpretation|knowing this first that no prophecy of the scripture is of any private interpretation
Unfollow_084_9|for any question or issue there was a single correct understanding and it was ours|for any question or issue there was a single correct understanding and it was ours
Unfollow_084_10|legitimate disagreement with westboro's theology could not exist within this framework and though i had come to reject some of the church's precepts i immediately fell back into that paradigm that there was only one way because i hadn't yet seen another that made sense to me|legitimate disagreement with westboro's theology could not exist within this framework and though i had come to reject some of the church's precepts i immediately fell back into that paradigm that there was only one way because i hadn't yet seen another that made sense to me
Unfollow_084_11|i was still assuming that anyone contradicting the clear meaning of scripture was either deliberately mangling the truth or deluded by god into believing a lie|i was still assuming that anyone contradicting the clear meaning of scripture was either deliberately mangling the truth or deluded by god into believing a lie
